city,country,latitude,longitude
Tokyo,Japan,35.6895,139.6917
Delhi,India,28.6139,77.209
Shanghai,China,31.2304,121.4737
São Paulo,Brazil,-23.5505,-46.6333
Mexico City,Mexico,19.4326,-99.1332
Cairo,Egypt,30.0444,31.2357
Dhaka,Bangladesh,23.8103,90.4125
Mumbai,India,19.076,72.8777
Beijing,China,39.9042,116.4074
Osaka,Japan,34.6937,135.5023
Karachi,Pakistan,24.8607,67.0011
Chongqing,China,29.4316,106.9123
Istanbul,Turkey,41.0082,28.9784
Buenos Aires,Argentina,-34.6037,-58.3816
Kolkata,India,22.5726,88.3639
Kinshasa,DR Congo,-4.4419,15.2663
Lagos,Nigeria,6.5244,3.3792
Manila,Philippines,14.5995,120.9842
Rio de Janeiro,Brazil,-22.9068,-43.1729
Guangzhou,China,23.1291,113.2644
Los Angeles,USA,34.0522,-118.2437
Moscow,Russia,55.7558,37.6173
Shenzhen,China,22.5431,114.0579
Lahore,Pakistan,31.5497,74.3436
Bangalore,India,12.9716,77.5946
Paris,France,48.8566,2.3522
Bogotá,Colombia,4.711,-74.0721
Jakarta,Indonesia,-6.2088,106.8456
Chennai,India,13.0827,80.2707
Lima,Peru,-12.0464,-77.0428
Bangkok,Thailand,13.7563,100.5018
Seoul,South Korea,37.5665,126.978
Nagoya,Japan,35.1815,136.9066
Hyderabad,India,17.385,78.4867
London,UK,51.5074,-0.1278
Tehran,Iran,35.6892,51.389
Chicago,USA,41.8781,-87.6298
Chengdu,China,30.5728,104.0668
Nanjing,China,32.0603,118.7969
Wuhan,China,30.5928,114.3055
Ho Chi Minh City,Vietnam,10.8231,106.6297
Luanda,Angola,-8.839,13.2894
Hong Kong,China,22.3193,114.1694
Ahmedabad,India,23.0225,72.5714
Kuala Lumpur,Malaysia,3.139,101.6869
New York,USA,40.7128,-74.006
Hanoi,Vietnam,21.0278,105.8342
Riyadh,Saudi Arabia,24.7136,46.6753
Santiago,Chile,-33.4489,-70.6693
Madrid,Spain,40.4168,-3.7038
Toronto,Canada,43.6532,-79.3832
Dallas,USA,32.7767,-96.797
Miami,USA,25.7617,-80.1918
Singapore,Singapore,1.3521,103.8198
Johannesburg,South Africa,-26.2041,28.0473
Barcelona,Spain,41.3851,2.1734
Los Angeles,USA,34.0522,-118.2437
Melbourne,Australia,-37.8136,144.9631
Sydney,Australia,-33.8688,151.2093
Casablanca,Morocco,33.5731,-7.5898
Berlin,Germany,52.52,13.405
Rome,Italy,41.9028,12.4964
Baghdad,Iraq,33.3152,44.3661
Paris,France,48.8566,2.3522
Toronto,Canada,43.6532,-79.3832
Chicago,USA,41.8781,-87.6298
Houston,USA,29.7604,-95.3698
Miami,USA,25.7617,-80.1918
Los Angeles,USA,34.0522,-118.2437
San Francisco,USA,37.7749,-122.4194
Washington,USA,38.9072,-77.0369
Madrid,Spain,40.4168,-3.7038
Barcelona,Spain,41.3851,2.1734
Milan,Italy,45.4642,9.19
Naples,Italy,40.8518,14.2681
Lisbon,Portugal,38.7169,-9.139
Vienna,Austria,48.21,16.37
Budapest,Hungary,47.4979,19.0402
Warsaw,Poland,52.2297,21.0122
Prague,Czech Republic,50.0755,14.4378
Brussels,Belgium,50.8503,4.3517
Amsterdam,Netherlands,52.3676,4.9041
Rotterdam,Netherlands,51.9225,4.4792
Stockholm,Sweden,59.3293,18.0686
Oslo,Norway,59.9139,10.7522
Copenhagen,Denmark,55.6761,12.5683
Helsinki,Finland,60.1699,24.9384
Zurich,Switzerland,47.3769,8.5417
Geneva,Switzerland,46.2044,6.1432
Dubai,UAE,25.276987,55.296249
Abu Dhabi,UAE,24.4539,54.3773
Doha,Qatar,25.276987,51.520008
Riyadh,Saudi Arabia,24.7136,46.6753
Jeddah,Saudi Arabia,21.4858,39.1925
Amman,Jordan,31.9454,35.9284
Damascus,Syria,33.5138,36.2765
Beirut,Lebanon,33.8938,35.5018
Cape Town,South Africa,-33.9249,18.4241
Johannesburg,South Africa,-26.2041,28.0473
Nairobi,Kenya,-1.2921,36.8219
Addis Ababa,Ethiopia,9.03,38.74
Accra,Ghana,5.6037,-0.187
Dar es Salaam,Tanzania,-6.7924,39.2083
Luanda,Angola,-8.839,13.2894
Algiers,Algeria,36.7538,3.0588
Khartoum,Sudan,15.5007,32.5599
Kampala,Uganda,0.3476,32.5825
Dakar,Senegal,14.6928,-17.4467
Harare,Zimbabwe,-17.8292,31.0522
Maputo,Mozambique,-25.9692,32.5732
Pretoria,South Africa,-25.7461,28.1881
Durban,South Africa,-29.8587,31.0218
